Route ID,Route Description,Kilometer
100-D,Hinjawadi Maan Phase 3 To Ma Na Pa,26.4
100-U,Ma Na Pa To Hinjawadi Maan Phase 3,26.4
101-D,Kondhwa Bk To Kothrud Depot,16.2
101-U,Kothrud Depot To Kondhwa Bk,16.2
102-D,Lohgaon To Kothrud Depot,23.6
102-U,Kothrud Depot To Lohgaon,23.6
103A-D,Hinjawadi Maan Phase 3 To Katraj (Vai Kothrud Depo),36.6
103A-U,Katraj To Hinjawadi Maan Phase 3 (Vai Kothrud Depo),36.6
103B-D,Swargate To Katraj,6.1
103B-U,Katraj To Swargate,6.1
103C-D,Hinjawadi Maan Phase 3 To Swargate,30.5
103C-U,Swargate To Hinjawadi Maan Phase 3,30.5
103-D,Kothrud Depot To Katraj,14.3
103-U,Katraj To Kothrud Depot,14.3
104-D,DSK Vishwa To Deccan Gymkhana,15.4
104-U,Deccan Gymkhana To DSK Vishwa,15.4
105-D,   Balewadi Depot To Deccan Gymkhana,16.8
105-U,Deccan Gymkhana To  Balewadi Depot,16.8
106-R,Galinde Path To Galinde Path,21.3
107-D,Pimplegurav To Deccan Gymkhana,14.4
107-U,Deccan Gymkhana To Pimplegurav,14.4
108-D,Pune Station To Sutardara,12.3
108-U,Sutardara To Pune Station,12.3
109-R,Ma Na Pa To Ma Na Pa,21
10-D,Keshavnagar To Swargate,15
10-U,Swargate To Keshavnagar,15
110-R,Ma Na Pa To Ma Na Pa,21
111-D,Ma Na Pa To Bhekrainagar,17.3
111-U,Bhekrainagar To Ma Na Pa,17.3
112-D,Mandai To Kothrud Depot,8
112-U,Kothrud Depot To Mandai,8
113A-D,Pimplegurav To Appa Balawant Chowk,13.3
113A-U,Appa Balawant Chowk To Pimplegurav,13.3
113B-D,Pimplegurav To Ma Na Pa,12.6
113B-U,Ma Na Pa To Pimplegurav,12.6
113-D,Vasantdada Putala Sangvi To Appa Balawant Chowk,10.9
113-U,Appa Balawant Chowk To Vasantdada Putala Sangvi,10.9
114-D,Mhalungegaon To Ma Na Pa,12.5
114-U,Ma Na Pa To Mhalungegaon,12.5
115P-D,Hinjawadi Maan Phase 3 To Pune Station,29
115P-U,Pune Station To Hinjawadi Maan Phase 3,29
116-D,Khadki Bazar To Ma Na Pa,10.8
116-U,Ma Na Pa To Khadki Bazar,10.8
117A-D,DSK Vishwa To Swargate,12.6
117A-U,Swargate To DSK Vishwa,12.6
117B-D,Shree Control To Swargate,11.7
117B-U,Swargate To Shree Control,11.7
117C-D,Raykarmala To Swargate,13.5
117C-U,Swargate To Raykarmala,13.5
117-D,Dhayari Maruti Mandir To Swargate,12.2
117-U,Swargate To Dhayari Maruti Mandir,12.2
117D-U,Swargate To Saritanagari,5
117E-D,Shaniwarwada Stand To Saritanagari,7
117F-U,Shaniwarwada To Dhayari Maruti Mandir,13.6
118-7A-D,Swargate To Marketyard,3.1
118-7A-U,Marketyard To Swargate,3.1
118-7-D,Venutai Chavan College To Swargate,9.4
118-7-U,Swargate To Venutai Chavan College,9.4
118A-D,Suncity To Swargate,6
118A-U,Swargate To Suncity,6
118B-D,Vadgaon Bk To Swargate,7
118B-U,Swargate To Vadgaon Bk,7
118C-D,Nanded To Swargate,11.2
118C-U,Swargate To Nanded,11.2
118-D,Venutai Chavan College To Swargate,9.4
118-U,Swargate To Venutai Chavan College,9.4
119A-D,Alandi To Vishrantwadi,11
119A-U,Vishrantwadi To Alandi,11
119-D,Alandi To Ma Na Pa,23.1
119-U,Ma Na Pa To Alandi,23.1
11-D,Pimplegurav To Marketyard,18.3
11-U,Marketyard To Pimplegurav,18.3
11K-D,Kalpataru To Katraj,21.6
11K-U,Katraj To Kalpataru,21.6
120A-D,Indoorance System To Bhosari,23.5
120A-U,Bhosari To Indoorance System,23.5
120-D,Indoorance System Chakan Mhalunge To Ma Na Pa,40.6
120-U,Ma Na Pa To Indoorance System Chakan Mhalunge,40.6
121-D,Bhosari Terminal To Ma Na Pa,17.1
121-U,Ma Na Pa To Bhosari Terminal,17.1
122A-U,Nehrunagar Depo To Ma Na Pa,15.9
122B-D,Chinchwadgaon To Nehrunagar Depo,6
122B-U,Nehrunagar Depo To Chinchwadgaon,6
122C-U,Ma Na Pa To Chinchwadgaon,18.7
122-D,Chinchwadgaon To Ma Na Pa,18.7
122-U,Ma Na Pa To Chinchwadgaon,18.7
123-D,Bhakti Shakti To Ma Na Pa,20.1
123-U,Ma Na Pa To Bhakti Shakti,20.1
125-D,Dapodi Mantri Niketan To Bopkhel,12.7
125-U,Bopkhel To Dapodi Mantri Niketan,12.7
126A-D,Kamalpark To Khadki Bazar,10.1
126B-U,Kamalpark To Pimplenilakh,20.2
126C-U,Khadki Bazar To Pimplenilakh,10.2
126-D,Pimplenilakh To Vishrantwadi,16.2
126D-U,Khadki Bazar To Vishrantwadi,6
126-U,Vishrantwadi To Pimplenilakh,16.2
128-D,Bopkhel To Ma Na Pa,19.1
128-U,Ma Na Pa To Bopkhel,19.1
129-D, Balewadi Depot To Pune Station,18.8
129-U,Pune Station To  Balewadi Depot,18.8
12-D,Bhakti Shakti To Upper Depot,30.05
12-U,Upper Depot To Bhakti Shakti,30.05
130A-D,Yewalewadi To Katraj,5.7
130A-U,Katraj To Yewalewadi,5.7
130-D,Shivajinagar To Yewalewadi,16.1
130-U,Yewalewadi To Shivajinagar,16.1
132A-D,Vadgaonsheri To Ma Na Pa (Via Shubham),14
132A-U,Ma Na Pa To Vadgaonsheri (Via Shubham),14
132-D,Shubham Society Nagar Road To Ma Na Pa,11.1
132-U,Ma Na Pa To Shubham Society Nagar Road,11.1
133A-D,Vadgaon Sheri To Ma Na Pa (Via Anand Park),14.8
133A-U,Ma Na Pa To Vadgaon Sheri (Via Anand Park),14.8
133-D,Anand Park To Ma Na Pa,12.8
133-U,Ma Na Pa To Anand Park,12.8
133B-D,Sainathnagar To Ma Na Pa,14
133B-U,Ma Na Pa To Sainath nagar,14
134-D,Vidyanagar To Pune Station,8.7
134-U,Pune Station To Vidyanagar,8.7
135A-D,Wadebolhai To Kesnand Phata,10.8
135A-U,Kesnand Phata To Wadebolhai,10.8
135-D,Wadebolhai To Pune Station,25.6
135-U,Pune Station To Wadebolhai,25.6
136A-D,Vadegaon To Kesnand Phata,12.7
136A-U,Kesnand Phata To Vadegaon,12.7
136-D,Vadegaon To Pune Station,27.5
136-U,Pune Station To Vadegaon,27.5
139A-D,Bhakti Shakti To Bhekrainagar,30.7
139A-U,Bhekrainagar To Bhakti Shakti,30.7
139-D,Bhakti Shakti To Shewalwadi,31.6
139-U,Shewalwadi To Bhakti Shakti,31.6
13A-D,Shivajinagar To VIT College,11.9
13A-U,Vit College To Shivajinagar,11.9
13B-D,Pune Vidhyapeeth To Upper Depo,14.5
13B-U,Upper Depo To Pune Vidhyapeeth,14.5
13C-U,Upper Depo To Pune Vidhyapeeth,14.5
13-D,Shivajinagar To Upper Depot,10
13L-D,Shivajinagar To Lake Town Society,9.6
13L-U,Lake Town Society To Shivajinagar,9.6
13-U,Upper Depot To Shivajinagar,10
140-D,Pune Station To Upper Depot,11.3
140-U,Upper Depot To Pune Station,11.3
141A-D,Marketyard To Khandoba Mandir,6
141A-U,Khandoba Mandir To Marketyard,6
141-D,Pune Station To Khandoba Mandir,11.9
141-U,Khandoba Mandir To Pune Station,11.9
142-D,Ghotawade Phata To Pune Station,31.8
142-U,Pune Station To Ghotawade Phata,31.8
143A-D,Pune Station To Galinde Path (Vai Nal Stop),11.3
143A-U,Galinde Path To Pune Station (Vai Nal Stop),11.3
143-D,Pune Station To Galinde Path (Vai Mhatre Pul),11.3
143-U,Galinde Path To Pune Station (Vai Mhatre Pul),11.3
144A-D,Pune Station To Sai Sayajinagar,13.9
144A-U,Sai Sayajinagar To Pune Station,13.9
144B-D,Sainathnagar To Kumbre Park,22.7
144B-U,Kumbre Park To Sainathnagar,22.7
144-D,Pune Station To Kothrud Stand,9
144D-D,Pune Station To Kumbare Park,12.5
144D-U,Kumbare Park To Pune Station,12.5
144K-D,Pune Station To Gujrat Colony,9
144K-U,Gujrat Colony To Pune Station,9
144-U,Kothrud Stand To Pune Station,9
145A-D,D2 Circle To Pune Station,25.75
145A-U,Pune Station To D2 Circle,25.75
145B-D,Sutarwadi Pashan To Pune Station,13
145B-U,Pune Station To Sutarwadi Pashan,13
145-D,NDA Golmarket To Pune Station,23.15
145-U,Pune Station To NDA Gol Market,23.15
146-D,Gokhalenagar To Pune Station,8.45
146-U,Pune Station To Gokhalenagar,8.45
147A-D,Nhavi Sandas To Kesnand Phata,23.2
147A-U,Kesnand Phata To Nhavi Sandas,23.2
147-D,Nhavi Sandas To Pune Station,38
147-U,Pune Station To Nhavi Sandas,38
148A-D,Bhosari To Bhekrainagar,33.7
148A-U,Bhekrainagar To Bhosari,33.7
148-D,Pimplegurav To Shewalwadi,24.8
148-U,Shewalwadi To Pimplegurav,24.8
149A-D,Bhakti Shakti To Shewalwadi,42.9
149A-U,Shewalwadi To Bhakti Shakti,42.9
149-D,Pimpri To Shewalwadi,37.6
149-U,Shewalwadi To Pimpri,37.6
14-D,Kesnand Phata To Dhayari Maruti Mandir,31.6
14-U,Dhayari Maruti Mandir To Kesnand Phata,31.6
151-D,Alandi To Pune Station,22
151-U,Pune Station To Alandi,22
152A-D,Munjabavasti To Ma Na Pa,12.3
152A-U,Ma Na Pa To Munjabavasti,12.3
152D-D,Ma Na Pa To Dhanorigaon,11.6
154-D,Vishrantwadi To Pune Station,8.5
154-U,Pune Station To Vishrantwadi,8.5
155-D,Lohgaon To Pune Station (Via Dhanori),15.7
155-U,Pune Station To Lohgaon (Via Dhanori),15.7
158A-D,Dadachi Padal To Ma Na Pa,15.5
158A-U,Ma Na Pa To Dadachi Padal,15.5
158-D,Lohgaon To Ma Na Pa,13.5
158-U,Ma Na Pa To Lohgaon,13.5
159-D,Talegaon Dhamdhere To Ma Na Pa,40.5
159K-D,Koregaon Bhima To Ma Na Pa,29
159K-U,Ma Na Pa To Koregaon Bhima,29
159P-D,Pabal Phata To Ma Na Pa,40.8
159P-U,Ma Na Pa To Pabal Phata,40.8
159-U,Ma Na Pa To Talegaon Dhamdhere,40.5
160-D,Mundhwagaon To Ma Na Pa,10.9
160-U,Ma Na Pa To Mundhwagaon,10.9
161-D,Vimannagar To  Warje Malwadi,23
161-U, Warje Malwadi To Vimannagar,23
162-D,Kendurgaon To Pune Station,43
162-U,Pune Station To Kendurgaon,43
163-D,Kharadi Gaon To Pune Station,11
163-U,Pune Station To Kharadi Gaon,11
164-D,Vimannagar To Swargate,15.5
164-U,Swargate To Vimannagar,15
165-D,Vadgaonsheri To Ma Na Pa,11.1
165-U,Ma Na Pa To Vadgaonsheri,11.1
166-D,Vimannagar To Pune Station,9.5
166-U,Pune Station To Vimannagar,9.5
167-D,Kesnand Phata To Hadapsar Gadital,14.2
167-U,Hadapsar Gadital To Kesnand Phata,14.2
168-D,Keshavnagar To Ma Na Pa,11.6
168-U,Ma Na Pa To Keshavnagar,11.6
169-D,Keshavnagar To Ma Na Pa (Vai Koregaon Park),12
169-U,Ma Na Pa To Keshavnagar (Vai Koregaon Park),12
170A-D,Kondhwa Bk To Pune Station,11.3
170A-U,Pune Station To Kondhwa Bk,11.3
170B-D,Kondhwa Hospital To Pune Station,12
170B-U,Pune Station To Kondhwa Hospital,12
170-D,Kondhwa Bk To Pune Station,11.3
170-U,Pune Station To Kondhwa Bk,11.3
174A-D,NDA Golmarket To Pune Station,21
174A-U,Pune Station To NDA Gol Market,21
174B-D,D2 Circle To Pune Station,23.4
174B-U,Pune Station To D2 Circle,23.4
174-D,Kondhwa Gate To Pune Station,18.8
174-U,Pune Station To Kondhwa Gate,18.8
175-D,Hadapsar Gadital To Ma Na Pa,16
175-U,Ma Na Pa To Hadapsar Gadital,16
176A-D,Krushnanagar Mohammadwadi To  Swargate (Vai NIBM),12.1
176A-U,Swrgate To Krushnanagar Mohammadwadi (Vai NIBM),12.1
176-D,Mahammad Wadi To Swargate  ,12.1
176-U,Swargate To Mahammad Wadi,12.1
177A-D,Azadnagar To Vishrantwadi,18.4
177A-U,Vishrantwadi To Azadnagar,18.4
177B-D,Siddharthnagar To Pune Station,9.7
177B-U,Pune Station To Siddharthnagar,9.7
177-D,Salunke Vihar To Pune Station,9.2
177D-D,Azadnagar To Pune Station,9.5
177D-U,Pune Station To Azadnagar,9.5
177K-D,Krushnanagar Mohammadwadi To Pune Station,10.9
177K-U,Pune Station To Krushnanagar Mohammadwadi,10.9
177M-D,Mahammad Wadi To Pune Station,13.3
177M-U,Pune Station To Mahammad Wadi,13.3
177-U,Pune Station To Salunke Vihar,9.2
179A-D,Vadachiwadi To Hadapsar Gadital,9.6
179A-U,Hadapsar Gadital To Vadachiwadi,9.6
179-D,Vadachiwadi To swargate,14.2
179-U,Swargate To Vadachiwadi,14.2
17A-D,Narhegaon To Natraj Stand,11
17A-U,Natraj Stand To Narhegaon,11
17B-D,Shaniwarwada Stand To Swargate,2.8
17B-U,Swargate To Shaniwarwada Stand,2.8
17-D,Narhegaon To Shaniwarwada,13.2
17-U,Shaniwarwada To Narhegaon,13.2
180-D,Bhekrainagar To Na Ta Wadi,15.5
180-U,Na Ta Wadi To Bhekrainagar,15.5
181A-D,SRP Camp To Na Ta Wadi,12.3
181A-U,Na Ta Wadi To SRP Camp,12.3
181B-D,Siddharthnagar To Na Ta Wadi,11.5
181B-U,Na Ta Wadi To Siddharthnagar,11.5
181C-D,Kondhwa Bk To Na Ta Wadi,13.8
181C-U,Na Ta Wadi To Kondhwa Bk,13.8
181-D,Kondhwa Kh To Na Ta Wadi,11.5
181-U,Na Ta Wadi To Kondhwa Kh,11.5
183A-D,Theur Factory To Sarasbaug,27.9
183A-U,Sarasbaug To Theur Factory,27.9
183-D,Theur To Hadapsar Gadital,17.4
183-U,Hadapsar Gadital To Theur,14.7
184A-D,Bhekrainagar To Swargate,12.1
184A-NGT-D,Hadapsar Gadital To Swargate,9.5
184A-NGT-U,Swargate To Hadapsar Gadital,9.5
184A-U,Swargate To Bhekrainagar,12.1
184B-D,Fursungi To Swargate,15.3
184B-U,Swargate To Fursungi,15.3
184-D,Fursungi To Padmawati,19.6
